Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
191,MUSC,145.450000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near Charleston, Charleston County, South Carolina OPEN",,,,
192,MUSC,444.825000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near Charleston, Charleston County, South Carolina OPEN",,,,
193,USS Yorktown,146.790000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4USN near Charleston, Charleston County, South Carolina OPEN PL 123.0 during nets and when QRM.",,,,
194,WA4USN,441.450000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4USN near Mount Pleasant, Charleston County, South Carolina OPEN",,,,
195,Fire Sta 1,443.375000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"K4IUG near West Ashley, Charleston County, South Carolina OPEN",,,,
196,K4IUG,224.660000,-,1.600000,TSQL,88.5,210.7,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"K4IUG near Charleston, Charleston County, South Carolina OPEN",,,,
197,WR4SC,147.105000,+,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WR4SC near Charleston, Charleston County, South Carolina OPEN Please check out www.scheart.us for more repeaters on the system and for more info.",,,,
198,WR4SC,441.575000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WR4SC near Charleston, Charleston County, South Carolina OPEN Please check out www.scheart.us for more repeaters on the system and for more info....",,,,
199,W4HRS,444.775000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near Charleston, Charleston County, South Carolina OPEN",,,,
200,WA4USN,145.410000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4USN near Seabrook Island, Charleston County, South Carolina OPEN",,,,
201,Adams Run,147.345000,+,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"K4IUG near Hollywood, Charleston County, South Carolina OPEN",,,,
202,WR4SC,146.760000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WR4SC near Charleston, Charleston County, South Carolina OPEN Please check out www.scheart.us for more repeaters on the system and for more info....",,,,
203,WR4SC,441.725000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WR4SC near Charleston, Charleston County, South Carolina OPEN Please check out www.scheart.us for more repeaters on the system and for more info....",,,,
204,Trident Hosp,146.730000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near North Charleston, Charleston County, South Carolina OPEN",,,,
205,K4IUG,147.345000,+,0.600000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"K4IUG near Adams Run, Charleston County, South Carolina OPEN",,,,
206,N2OBS,443.775000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"N2OBS near Ladson, Dorchester County, South Carolina CLOSED Offline for Repairs",,,,
207,Summerville,146.985000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near Summerville, Dorchester County, South Carolina OPEN",,,,
208,KC4ED,442.300000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"KC4ED near Summerville, Dorchester County, South Carolina OPEN",,,,
209,WA4USN,146.940000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4USN near Knightsville, Dorchester County, South Carolina OPEN",,,,
210,WA4USN,441.450000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4USN near Knightsville, Dorchester County, South Carolina OPEN",,,,
211,WA4NMW,147.225000,+,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4NMW near Knightsville, Charleston County, South Carolina OPEN",,,,
212,KK4B,145.350000,-,0.600000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"KK4B near Cordesville, Berkeley County, South Carolina OPEN AARadioGroup.org",,,,
213,W4BRK,146.610000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4BRK near Moncks Corner, Berkeley County, South Carolina CLOSED",,,,
214,EOC,145.490000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near Moncks Corner, Berkeley County, South Carolina OPEN",,,,
215,W4HNK,147.180000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HNK near Dorchester, Dorchester County, South Carolina OPEN",,,,
216,W4HNK,443.800000,+,5.025000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HNK near Dorchester, Dorchester County, South Carolina OPEN",,,,
217,W4ANK,147.270000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4ANK near Jedburg, Dorchester County, South Carolina OPEN",,,,
218,WA4SJS,146.910000,-,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WA4SJS near White Hall, Colleton County, South Carolina OPEN",,,,
219,KG4BZN,147.135000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"KG4BZN near Walterboro, Colleton County, South Carolina CLOSED",,,,
220,WR4SC,441.675000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WR4SC near White Hall, Colleton County, South Carolina OPEN",,,,
221,WR4SC,146.715000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"WR4SC near White Hall, Colleton County, South Carolina OPEN Please check out www.scheart.us for more repeaters on the system and for more info....",,,,
222,Colleton Co,444.850000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4HRS near Walterboro, Colleton County, South Carolina OPEN",,,,
223,WJWJ,146.655000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4BFT near Beaufort, Beaufort County, South Carolina OPEN",,,,
224,Hospital,443.850000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4BFT near Beaufort, Beaufort County, South Carolina OPEN",,,,
225,W4BFT,145.130000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4BFT near Beaufort, Beaufort County, South Carolina OPEN",,,,
226,KK4B,147.300000,+,0.600000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"KK4B near Russellville, Berkeley County, South Carolina OPEN",,,,
227,SCETV Tower,147.045000,+,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"KA4GDW near Saint George, Dorchester County, South Carolina OPEN",,,,
228,W4IAR,145.310000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4IAR near Hilton Head Island, Beaufort County, South Carolina OPEN",,,,
229,W4IAR,147.240000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4IAR near Hilton Head Island, Beaufort County, South Carolina OPEN",,,,
230,W4IAR,444.350000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4IAR near Hilton Head Island, Beaufort County, South Carolina OPEN",,,,
231,KJ4QLH,146.805000,-,0.600000,TSQL,88.5,156.7,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"KJ4QLH near Vance, Orangeburg County, South Carolina OPEN This repeater will be used by Orangeburg County EC during emergency",,,,
232,W4IAR,442.675000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,"W4IAR near Bluffton, Beaufort County, South Carolina OPEN Echolink is only enabled during Net Times",,,,
